catalog: 156 frames, 116 images (20 colour)
building 156 frames with 2 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual    peak    KiB     s
-------------------------------------------------------------------------------------------------------------
L000      6000351     6000013.5    -337.5   799.355   2.54   0.62   +0.8  2000.005  0.91  0.2500    528   0.7
L001      8309777     8309399.2    -377.8   799.241   2.73   1.16   -0.7  2000.221  0.92  0.3055    517   0.7
L002     10667713    10667393.9    -319.1   799.230   1.20   0.70   +1.1  2000.533  0.96  0.2373    538   0.7
L003     12939909    12939593.4    -315.6   799.201   1.13   0.66   +1.0  2000.316  0.96  0.2525    544   0.7
L004     15185551    15185252.5    -298.5   799.185   3.63   0.56   +0.6  1999.616  0.91  0.2930    532   0.6
L005     17428078    17427777.8    -300.2   799.117   1.15   0.68   +1.1  2000.109  0.96  0.2468    549   0.6
L006     19610745    19610633.7    -111.3   799.115   1.27   0.66   +1.0  2000.270  0.96  0.2342    527   0.7
L007     21715195    21715088.8    -106.2   799.247   2.69   0.94   +1.2  2002.291  0.90  0.3117    487   0.8
L008     23821271    23821152.9    -118.1   799.225   4.56   0.63   +0.8  2000.546  0.89  0.3228    484   0.8
L009     25944256    25944166.1     -89.9   799.150   1.86   0.74   +1.2  1999.620  0.94  0.2711    494   0.7
L010     28672650    28672474.0    -176.0   799.019   2.11   0.60   +0.8  2000.019  0.94  0.3040    529   0.5
L011     30893217    30893115.1    -101.9   799.066   2.00   1.07   +1.7  1999.500  0.94  0.3092    498   0.4
L012     33172759    33172602.9    -156.1   799.019   1.65   0.60   +0.8  2000.975  0.95  0.2957    498   0.7
L013     35444906    35444810.1     -95.9   798.974   1.19   0.61   +0.9  2000.027  0.96  0.3145    514   0.3
L014     37614248    37614100.0    -148.0   799.016   1.10   0.77   +1.0  2000.021  0.96  0.2996    512   0.4
L015     39821951    39821802.9    -148.1   799.053   1.18   0.69   +1.2  2000.036  0.96  0.2390    521   0.4
L016     41972120    41971948.0    -172.0   799.038   0.92   0.59   +0.8  2000.015  0.97  0.2927    545   0.5
L017     44045542    44045434.6    -107.4   799.082   3.09   0.63   +0.9  2000.308  0.92  0.2332    553   0.5
L018     46234943    46234783.7    -159.3   799.158   1.18   0.70   +1.2  2000.437  0.96  0.3270    511   0.6
L019     48475019    48474744.4    -274.6   798.903   3.38   0.62   +0.9  2000.092  0.91  0.2539    546   0.6
L020     50572886    50572604.8    -281.2   798.890   1.68   0.70   +1.0  1999.754  0.94  0.2581    552   0.5
L021     52750217    52749885.8    -331.2   798.900   0.96   0.62   +0.9  2000.655  0.97  0.3065    540   0.5
L022     54952894    54952746.7    -147.3   798.835   1.46   0.59   +0.9  2000.097  0.95  0.2734    558   0.5
L023 !   57295996    57295047.1    -948.9   798.825  12.85  11.46  -25.3  1944.007  0.72  0.2420    537   0.3
L024     59524382    59524289.1     -92.9   798.843   0.87   0.58   +0.8  1999.603  0.97  0.2149    542   0.4
L025     61705923    61705779.1    -143.9   798.818   1.38   0.75   +1.0  2000.676  0.95  0.2342    516   0.6
L026     63892792    63892643.2    -148.8   798.845   0.88   0.61   +0.9  1999.622  0.97  0.3100    493   0.6
L027     66132628    66132443.9    -184.1   798.778   2.91   0.84   +1.5  1999.945  0.92  0.2649    519   0.6
L028 !   68279218    68277890.3   -1327.7   798.882  23.64  17.96   +2.5  2006.522  0.73  0.3266    506   0.3
L029     70507149    70507043.6    -105.4   798.864   1.44   0.79   +1.1  1999.398  0.96  0.2179    536   0.4
L030     72751178    72751100.5     -77.5   798.831   1.91   0.62   +0.9  1999.551  0.94  0.2398    522   0.4
L031     74854166    74854053.2    -112.8   798.775   1.23   0.61   +1.0  2000.566  0.96  0.3054    508   0.5
L032     77244411    77243937.7    -473.3   798.787   1.16   0.64   -1.0  2000.305  0.96  0.3260    515   0.7
L033     79504150    79503876.7    -273.3   798.782   1.66   0.94   +1.8  1999.430  0.95  0.2560    550   0.6
L034     81716295    81716113.8    -181.2   798.760   0.97   0.67   +1.1  2000.411  0.96  0.3279    506   0.4
L035     83948789    83948671.9    -117.1   798.787   1.01   0.63   +0.9  1999.501  0.97  0.3004    530   0.6
L036     86171253    86171011.7    -241.3   798.764   1.28   0.72   +1.2  1999.463  0.96  0.2717    548   0.7
L037     88362514    88362228.4    -285.6   798.802   1.04   0.65   +1.0  1999.522  0.93  0.2744    536   0.6
L038     90737295    90737155.8    -139.2   798.795   1.80   0.86   +1.6  2001.147  0.94  0.3105    494   0.5
L039     92910821    92910522.7    -298.3   798.740   1.30   0.67   +1.1  2001.347  0.96  0.3089    537   0.5
L040     95162987    95162793.5    -193.5   798.763   2.22   0.89   +1.7  1998.995  0.94  0.2519    542   0.6
L041     97392089    97391899.4    -189.6   798.728   1.12   0.61   +0.9  1999.351  0.96  0.2931    531   0.6
L042     99629965    99629798.0    -167.0   798.753   1.69   0.86   +1.3  2001.009  0.95  0.2878    524   0.6
L043    101881353   101881189.4    -163.6   798.721   3.23   0.69   +1.1  1999.940  0.91  0.3054    509   0.6
L044    104134064   104133883.1    -180.9   798.758   1.73   0.52   +0.6  1999.440  0.95  0.3297    509   0.7
L045    106391299   106391137.8    -161.2   798.704   0.94   0.77   +0.9  1999.327  0.97  0.2885    510   0.7
L046    108653023   108652873.6    -149.4   798.678   1.01   0.59   +0.9  1999.357  0.97  0.3252    496   0.6
L047    110785849   110785672.6    -176.4   798.713   1.26   0.60   +0.9  1999.493  0.96  0.2827    538   0.6
L048    112989673   112989520.7    -152.3   798.668   1.87   1.00   +1.6  1999.907  0.94  0.3273    519   0.6
L049    115214155   115213997.5    -157.5   798.660   1.08   0.79   +1.0  1999.335  0.97  0.3264    512   0.6
L050    117466213   117465907.3    -305.7   798.662   0.90   0.59   +0.8  2000.218  0.96  0.3037    519   0.7
